district,hazard,rp,dk_tot,dw_tot,res_tot,fa,dk_famax,dw_famax
Mullaitivu,PF,50.0,168.43194088954598,1629.908324471725,0.10333829109323492,0.06,0.0,0.0
Mullaitivu,PF,100.0,168.43194088954587,1657.3016690348966,0.1016302246214653,0.06,0.0,0.0
Mullaitivu,PF,250.0,181.9251074248964,1661.274744143544,0.10950934399396188,0.07,0.0,0.0
Mullaitivu,PF,500.0,182.97199103539768,1703.3396084213662,0.1074195598639157,0.06,0.0,0.0
Mullaitivu,PF,1000.0,182.97199103539765,1762.6179087970734,0.10380695108236464,0.07,0.0,0.0
Nuwara Eliya,PF,5.0,6.894290739706325,22.70516150934341,0.3036442060484464,0.0,0.0,0.0
Nuwara Eliya,PF,10.0,6.894290739706334,22.35586806050459,0.3083884160099451,0.0,0.0,0.0
Nuwara Eliya,PF,25.0,6.894290739706322,22.213578107466454,0.31036381020439946,0.0,0.0,0.0
Nuwara Eliya,PF,50.0,6.894290739706338,22.70154042576823,0.3036926398122621,0.0,0.0,0.0
Nuwara Eliya,PF,100.0,6.894290739706329,22.66331506726397,0.30420486673041003,0.0,0.0,0.0
Nuwara Eliya,PF,250.0,6.894290739706343,22.477524962779622,0.30671930077366405,0.0,0.0,0.0
Nuwara Eliya,PF,500.0,6.8942907397063315,22.529907355076762,0.3060061735297289,0.0,0.0,0.0
Nuwara Eliya,PF,1000.0,6.894290739706345,22.957780018727693,0.3003030229439589,0.0,0.0,0.0
Polonnaruwa,PF,5.0,11619.622051571821,22554.02121843252,0.5151907032026536,0.56,0.0,0.0
Polonnaruwa,PF,10.0,14132.214430557337,22672.51045320965,0.6233193478826557,0.58,0.0,0.0
Polonnaruwa,PF,25.0,17172.80887352537,31339.729656946474,0.5479565095648171,0.81,0.0,0.0
Polonnaruwa,PF,50.0,18200.199849843684,32331.475409521947,0.562925125417677,0.79,0.0,0.0
Polonnaruwa,PF,100.0,18933.411860793192,35247.23994319379,0.5371601263335009,0.9,0.0,0.0
Polonnaruwa,PF,250.0,20057.819304413977,35676.08837442668,0.5622202494259941,0.91,0.0,0.0
Polonnaruwa,PF,500.0,20516.52389175186,36959.65674069837,0.5551059100925027,0.94,0.0,0.0
Polonnaruwa,PF,1000.0,21200.557048308383,33410.30945136163,0.6345513524552032,0.87,0.0,0.0
Puttalam,PF,5.0,11509.716760327532,30056.701924065244,0.3829334565517365,0.3,0.0,0.0
Puttalam,PF,10.0,14091.245304720942,36067.4599480261,0.3906913690353215,0.36,0.0,0.0
Puttalam,PF,25.0,16850.228093690264,42754.913285556984,0.39411208674775705,0.43,0.0,0.0
Puttalam,PF,50.0,17878.773569533092,47352.790861930334,0.3775653608604278,0.47,0.0,0.0
Puttalam,PF,100.0,18661.29510241049,48506.43524019238,0.3847179247455349,0.48,0.0,0.0
Puttalam,PF,250.0,19805.2719800648,50595.59990418389,0.3914425763815688,0.52,0.0,0.0
Puttalam,PF,500.0,20531.972954454264,53461.465713593934,0.38405181527287396,0.53,0.0,0.0
Puttalam,PF,1000.0,21694.556684937892,55824.451827743556,0.388621042834068,0.55,0.0,0.0
Rathnapura,PF,5.0,38518.064021711805,125221.32532619448,0.3075998750322632,0.95,38518.064021711805,125221.32532619448
Rathnapura,PF,10.0,38985.61544020938,131505.56206123024,0.2964560192675144,0.95,38985.61544020938,131505.56206123024
Rathnapura,PF,25.0,39923.37180398345,133875.25998963142,0.2982132158479132,0.95,39923.37180398345,133875.25998963142
