district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,25.0,85275.27295131289,10153.445211979484,507.3882153410569
Ampara,PF,25.0,60261.880924932855,5235.606317638669,447.8605174517545
Ampara,PF,25.0,42675.06282351189,6313.669075562724,6313.669075562724
Ampara,PF,25.0,133293.0399477473,9640.057505317438,190.19141925505681
Ampara,PF,25.0,90782.93137206325,11309.202702765784,501.5273037529705
Ampara,PF,25.0,87664.17842457897,13589.383361430688,575.7337751211297
Ampara,PF,25.0,68419.73492560527,11191.080014318508,857.2084086100001
Ampara,PF,25.0,83331.53447682013,13696.437720810198,664.3717174420608
Ampara,PF,25.0,91730.26474525568,11243.24012256923,487.3055273539807
Ampara,PF,25.0,197593.67936769768,18569.81020851321,222.1250264416924
Ampara,PF,25.0,101801.15443173007,13398.431713249252,474.3468768096456
Ampara,PF,25.0,167710.80747702456,14057.578202472678,203.6324871248657
Ampara,PF,25.0,175246.30306045068,29401.962462374537,462.13622743095766
Ampara,PF,25.0,69514.74050936532,9631.660213669576,653.3420789147723
Ampara,PF,25.0,83490.53273520054,5934.2171400745665,280.82103035490576
Ampara,PF,25.0,269948.9727468681,17534.588854881145,134.37970008206386
Ampara,PF,25.0,173060.2176311793,19657.701742452784,279.88147975305185
Ampara,PF,25.0,80887.39913977553,8826.786420164137,492.1158183781356
Ampara,PF,25.0,76791.11979044926,13327.788705468589,784.5265539246136
Ampara,PF,25.0,62402.263729817234,6910.3572272982865,580.7386760601069
Ampara,PF,25.0,91759.90113937744,5874.633046189799,220.1324115152484
Ampara,PF,25.0,65639.16967996367,7441.454720104436,548.2982744912545
Ampara,PF,25.0,78275.41798501398,7435.4282258435,428.88063053675074
Ampara,PF,25.0,73865.16746545941,8871.522765075251,499.48926917319875
Ampara,PF,25.0,124076.53152763502,18844.900694499524,487.7769931473842
Ampara,PF,25.0,71451.87554056526,10075.740834581657,647.0011197927162
Ampara,PF,25.0,61668.71317116152,5445.394124103589,442.08016497369294
Ampara,PF,25.0,144694.3564673725,21247.38713840389,424.0218315617585
Ampara,PF,25.0,90861.08285976508,15039.352478362442,605.2631588365588
Ampara,PF,25.0,76889.79644394957,6876.137162353621,416.5834089777509
Ampara,PF,25.0,92985.7158371684,11542.207118667036,480.6617318940445
Ampara,PF,25.0,95663.65525381775,9139.965607659455,335.80739663277666
Ampara,PF,25.0,68180.37036003344,7934.128496446728,536.4495133918176
Ampara,PF,25.0,118005.73474408455,11470.748918410236,284.23790276696474
Ampara,PF,25.0,211934.03791268208,31432.471542235748,361.5978470411829
Ampara,PF,25.0,43531.585667978296,3281.7059816569285,1405.8445249611457
Ampara,PF,25.0,119696.30997602706,10128.658639967683,239.46589881805318
Ampara,PF,25.0,184674.12166593422,20234.34107607907,261.9396136586824
Ampara,PF,25.0,100160.3716231262,8114.987250837978,265.5858420012701
Ampara,PF,25.0,53716.597151271526,5773.448628341612,808.8019028628578
Ampara,PF,25.0,182697.99878054557,26603.430307619765,377.2092701413554
Ampara,PF,25.0,80404.2872441393,10387.716612579621,496.6726686548317
