region,hazard,rp,new_pov,new_sub,init_pov,init_sub,reg_pop
IX - Zamboanga Peninsula,HU,1,0.007332445532626615,0.0070577219415001325,775760.7985300007,498896.45579999994,3764699.5852399925
IX - Zamboanga Peninsula,HU,10,0.009936531875317886,0.008990440167120844,775760.79853,498896.45580000005,3764699.5852400023
IX - Zamboanga Peninsula,HU,25,28.35754983526372,27.132484167661826,775760.7985299999,498896.4557999997,3764699.5852399915
IX - Zamboanga Peninsula,HU,30,46.90215922743557,44.71401216116451,775760.7985300006,498896.4557999999,3764699.585239991
IX - Zamboanga Peninsula,HU,50,192.73727400407117,171.27177328988526,775760.79853,498896.4558,3764699.5852400013
IX - Zamboanga Peninsula,HU,100,669.4313431678015,600.3192266826868,775760.7985299999,498896.45580000017,3764699.58524
IX - Zamboanga Peninsula,HU,200,2090.616378064676,1976.1850822347935,775760.7985300004,498896.4557999997,3764699.58523999
IX - Zamboanga Peninsula,HU,250,2663.1392922688215,2460.4474230906394,775760.7985300004,498896.45580000005,3764699.5852400004
IX - Zamboanga Peninsula,HU,500,6128.016209872495,5662.677172257418,775760.7985299994,498896.4557999996,3764699.5852400027
IX - Zamboanga Peninsula,HU,1000,11805.491452984015,10345.417235213617,775760.7985300005,498896.45579999994,3764699.5852400055
IX - Zamboanga Peninsula,HU,2000,56301.30120973894,51914.927268939566,775760.7985300001,498896.4558,3764699.585240003
IX - Zamboanga Peninsula,PF,1,0.619557271624854,0.5281531588087104,775760.7985299997,498896.4558000001,3764699.5852400004
IX - Zamboanga Peninsula,PF,10,0.7833973484317952,0.7059304415876847,775760.7985299996,498896.4558,3764699.585240011
IX - Zamboanga Peninsula,PF,25,92.00287996015436,85.01359732215111,775760.7985300003,498896.45579999976,3764699.5852400074
IX - Zamboanga Peninsula,PF,30,134.16384422391866,125.20123006677703,775760.7985299999,498896.4558000002,3764699.5852400046
IX - Zamboanga Peninsula,PF,50,399.38676871686414,365.0179706738723,775760.7985299999,498896.45579999994,3764699.5852400027
IX - Zamboanga Peninsula,PF,100,1143.295572319559,1062.9225403278635,775760.7985300004,498896.45579999976,3764699.585240001
IX - Zamboanga Peninsula,PF,200,3010.855819763456,2636.454481458881,775760.7985299999,498896.45579999994,3764699.5852400055
IX - Zamboanga Peninsula,PF,250,3655.9647257193355,3510.3406190493724,775760.7985299998,498896.45580000005,3764699.585239999
IX - Zamboanga Peninsula,PF,500,6172.764426157287,6099.129981288355,775760.7985300004,498896.45580000017,3764699.585240003
IX - Zamboanga Peninsula,PF,1000,10200.692896375665,9114.843600252621,775760.7985300005,498896.4558000001,3764699.585240006
IX - Zamboanga Peninsula,PF,2000,36152.583671798835,33046.59254674404,775760.7985299994,498896.4558,3764699.585239995
IX - Zamboanga Peninsula,SS,200,106.66907664738427,96.25969413833262,775760.7985299997,498896.45579999976,3764699.5852399957
IX - Zamboanga Peninsula,SS,250,115.6895644137084,106.16102321401176,775760.79853,498896.4557999998,3764699.5852399985
IX - Zamboanga Peninsula,SS,500,731.2010456126883,682.5134394938034,775760.7985300004,498896.45579999994,3764699.585239994
IX - Zamboanga Peninsula,SS,1000,1806.132538532166,1792.110213574843,775760.7985299998,498896.45579999994,3764699.585239997
IX - Zamboanga Peninsula,SS,2000,4996.7014354585845,4424.12439480491,775760.7985299998,498896.4558000001,3764699.585239995
